name,description,brand,type,image,url,objectID
12/16/2016 20:20,Talked with [redacted] follow up first thing Mon,Strzok,Friday,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-01.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,9984203
12/18/2016 9:11,There is no way he goes to london and it doesn't come up.,Page,Sunday,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-02.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,9940451
1/3/2017 18:58,"Forgot one thing I wanted to mention - CG is having a briefing to the US Atty on Fri. I think Bill got us invited via SAC, at least for the firat 10 mimutes, we want to frame the case in the context of everything. Wanted to [garbled text]",Strzok,Tuesday,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-03.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,9905762
1/3/2017 19:20,Well sh*t. Sorry Also ran into Andy in the garage. Sometimes I'm so God damn stupid awkward it's embarrassing. It kills me.,Strzok,Tuesday,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-04.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,9275148
1/3/2017 19:38,"Why, what happened?",Page,Tuesday,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-05.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,9274741
1/3/2017 20:03,To andy,Page,Tuesday,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-06.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,9274732
1/3/2017 20:03,"Just called your desk. Sorry, crazy morning.",Page,Tuesday,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-07.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,9131042
1/5/2017 11:58,K. Walking back call you in 30 sec,Strzok,Thursday,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-08.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,8847604
1/11/2017 8:28,I can obviously talk if you want,Strzok,Wednesday,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-09.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,8723085
1/11/2017 8:52,Ok I am inexplicably f*king waiting to get into the building,Strzok,Wednesday,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-10.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,8614169
